SRX ID	SRA ID	GEO ID	Genome	Track type class	Track type	Cell type class	Cell type	Title	Attributes
SRX12121248	SRA1290721	GSM5570596	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 6 rep1; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121249	SRA1290721	GSM5570597	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 6 rep2; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121250	SRA1290721	GSM5570598	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 7 rep1; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121251	SRA1290721	GSM5570599	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 7 rep2; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121252	SRA1290721	GSM5570600	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 8 rep1; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121253	SRA1290721	GSM5570601	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 8 rep2; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: intermediate of cardiac differentiation
SRX12121254	SRA1290721	GSM5570602	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 10 rep1; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: cardiomyocyte
SRX12121255	SRA1290721	GSM5570603	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 10 rep2; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: cardiomyocyte
SRX12121256	SRA1290721	GSM5570604	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 15 rep1; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: cardiomyocyte
SRX12121257	SRA1290721	GSM5570605	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	mESC to CM Day 15 rep2; Mus musculus; ATAC-seq	source_name: A2lox.cre mouse embryonic stem cell line under cardiac differentiationcell line: A2lox.crecell type: cardiomyocyte
SRX13298165	SRA1550175	GSM5712924	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	ATAC-seq CM WT rep1; Mus musculus; ATAC-seq	source_name: Differentiated cardiomyocytegenotype: WTcell type: ESC-derived cardiomyocytestrain: C57BL/6antibody: none
SRX13298166	SRA1550175	GSM5712925	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	ATAC-seq CM WT rep2; Mus musculus; ATAC-seq	source_name: Differentiated cardiomyocytegenotype: WTcell type: ESC-derived cardiomyocytestrain: C57BL/6antibody: none
SRX13298167	SRA1550175	GSM5712926	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	ATAC-seq CM WT rep3; Mus musculus; ATAC-seq	source_name: Differentiated cardiomyocytegenotype: WTcell type: ESC-derived cardiomyocytestrain: C57BL/6antibody: none
SRX13298168	SRA1550175	GSM5712927	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	ATAC-seq CM Mettl3-KO rep1; Mus musculus; ATAC-seq	source_name: Differentiated cardiomyocytegenotype: Mettl3-KOcell type: ESC-derived cardiomyocytestrain: C57BL/6antibody: none
SRX13298169	SRA1550175	GSM5712928	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	ATAC-seq CM Mettl3-KO rep2; Mus musculus; ATAC-seq	source_name: Differentiated cardiomyocytegenotype: Mettl3-KOcell type: ESC-derived cardiomyocytestrain: C57BL/6antibody: none
SRX14036021	SRA1366804	GSM5859135	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	D5 control rep1; Mus musculus; ATAC-seq	source_name: cardiac progenitor cellscell type: mESC-derived cardiac progenitor cellsstrain: A2Lox.crecell line: GLI1-FTAtreatment: untreatedday of harvest: D5
SRX14036022	SRA1366804	GSM5859136	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	D5 control rep2; Mus musculus; ATAC-seq	source_name: cardiac progenitor cellscell type: mESC-derived cardiac progenitor cellsstrain: A2Lox.crecell line: GLI1-FTAtreatment: untreatedday of harvest: D5
SRX14036023	SRA1366804	GSM5859137	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	D7 control rep1; Mus musculus; ATAC-seq	source_name: cardiac progenitor cellscell type: mESC-derived cardiac progenitor cellsstrain: A2Lox.crecell line: GLI1-FTAtreatment: untreatedday of harvest: D7
SRX14036024	SRA1366804	GSM5859138	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	D7 control rep2; Mus musculus; ATAC-seq	source_name: cardiac progenitor cellscell type: mESC-derived cardiac progenitor cellsstrain: A2Lox.crecell line: GLI1-FTAtreatment: untreatedday of harvest: D7
SRX14036025	SRA1366804	GSM5859139	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	D7 control rep3; Mus musculus; ATAC-seq	source_name: cardiac progenitor cellscell type: mESC-derived cardiac progenitor cellsstrain: A2Lox.crecell line: GLI1-FTAtreatment: untreatedday of harvest: D7
SRX14036026	SRA1366804	GSM5859140	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	D7 GLI1 OE rep1; Mus musculus; ATAC-seq	source_name: cardiac progenitor cellscell type: mESC-derived cardiac progenitor cellsstrain: A2Lox.crecell line: GLI1-FTAtreatment: 500ng/ml doxycycline from D5-7day of harvest: D7
SRX14036027	SRA1366804	GSM5859141	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	D7 GLI1 OE rep2; Mus musculus; ATAC-seq	source_name: cardiac progenitor cellscell type: mESC-derived cardiac progenitor cellsstrain: A2Lox.crecell line: GLI1-FTAtreatment: 500ng/ml doxycycline from D5-7day of harvest: D7
SRX14036028	SRA1366804	GSM5859142	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	D7 GLI1 OE rep3; Mus musculus; ATAC-seq	source_name: cardiac progenitor cellscell type: mESC-derived cardiac progenitor cellsstrain: A2Lox.crecell line: GLI1-FTAtreatment: 500ng/ml doxycycline from D5-7day of harvest: D7
SRX4301895	SRA728719	GSM3227673	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT CP rep1; Mus musculus; ATAC-seq	source_name: cardiac progenitorgenotype: BRG1-3XFLAGcell type: Es cell derived cardiac progenitor
SRX4301896	SRA728719	GSM3227674	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT CP Rep2; Mus musculus; ATAC-seq	source_name: cardiac progenitorgenotype: BRG1-3XFLAGcell type: Es cell derived cardiac progenitor
SRX4301897	SRA728719	GSM3227675	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BAF60 KO CP rep1; Mus musculus; ATAC-seq	source_name: cardiac progenitorgenotype: BRG1-3XFLAG; BAF60c KOcell type: Es cell derived cardiac progenitor
SRX4301898	SRA728719	GSM3227676	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BAF60 KO CP rep2; Mus musculus; ATAC-seq	source_name: cardiac progenitorgenotype: BRG1-3XFLAG; BAF60c KOcell type: Es cell derived cardiac progenitor
SRX4301899	SRA728719	GSM3227677	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BAF170 KO CP rep1; Mus musculus; ATAC-seq	source_name: cardiac progenitorgenotype: BRG1-3XFLAG; BAF170 KOcell type: Es cell derived cardiac progenitor
SRX4301900	SRA728719	GSM3227678	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BAF170 KO CP rep2; Mus musculus; ATAC-seq	source_name: cardiac progenitorgenotype: BRG1-3XFLAG; BAF170 KOcell type: Es cell derived cardiac progenitor
SRX4301904	SRA728719	GSM3227682	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT CM rep1; Mus musculus; ATAC-seq	source_name: cardiac myocytegenotype: BRG1-3XFLAGcell type: ES cell derived cardiac myocyte
SRX4301905	SRA728719	GSM3227683	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT CM rep2; Mus musculus; ATAC-seq	source_name: cardiac myocytegenotype: BRG1-3XFLAGcell type: ES cell derived cardiac myocyte
SRX4301906	SRA728719	GSM3227684	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT CM rep3; Mus musculus; ATAC-seq	source_name: cardiac myocytegenotype: BRG1-3XFLAGcell type: ES cell derived cardiac myocyte
SRX4301907	SRA728719	GSM3227685	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT CM rep4; Mus musculus; ATAC-seq	source_name: cardiac myocytegenotype: BRG1-3XFLAGcell type: ES cell derived cardiac myocyte
SRX4301908	SRA728719	GSM3227686	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BAF60 KO CM rep1; Mus musculus; ATAC-seq	source_name: cardiac myocytegenotype: BRG1-3XFLAG; BAF60c KOcell type: ES cell derived cardiac myocyte
SRX4301909	SRA728719	GSM3227687	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BAF60 KO CM rep2; Mus musculus; ATAC-seq	source_name: cardiac myocytegenotype: BRG1-3XFLAG; BAF60c KOcell type: ES cell derived cardiac myocyte
SRX4301910	SRA728719	GSM3227688	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BAF60 KO CM rep3; Mus musculus; ATAC-seq	source_name: cardiac myocytegenotype: BRG1-3XFLAG; BAF60c KOcell type: ES cell derived cardiac myocyte
SRX4301911	SRA728719	GSM3227689	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BAF170 KO CM rep1; Mus musculus; ATAC-seq	source_name: cardiac myocytegenotype: BRG1-3XFLAG; BAF170 KOcell type: ES cell derived cardiac myocyte
SRX4301912	SRA728719	GSM3227690	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BAF170 KO CM rep2; Mus musculus; ATAC-seq	source_name: cardiac myocytegenotype: BRG1-3XFLAG; BAF170 KOcell type: ES cell derived cardiac myocyte
SRX4301913	SRA728719	GSM3227691	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BAF170 KO CM rep3; Mus musculus; ATAC-seq	source_name: cardiac myocytegenotype: BRG1-3XFLAG; BAF170 KOcell type: ES cell derived cardiac myocyte
SRX4301914	SRA728719	GSM3227692	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BAF170 KO CM rep4; Mus musculus; ATAC-seq	source_name: cardiac myocytegenotype: BRG1-3XFLAG; BAF170 KOcell type: ES cell derived cardiac myocyte
SRX4301915	SRA728719	GSM3227693	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BAF170 KO CM rep5; Mus musculus; ATAC-seq	source_name: cardiac myocytegenotype: BRG1-3XFLAG; BAF170 KOcell type: ES cell derived cardiac myocyte
SRX8297686	SRA1073734	GSM4542765	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D4 normalBMP4 Rep1 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D4_normalBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAGtimepoint: Day 4
SRX8297687	SRA1073734	GSM4542766	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D4 normalBMP4 Rep2 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D4_normalBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAGtimepoint: Day 4
SRX8297688	SRA1073734	GSM4542767	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D4 normalBMP4 Rep3 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D4_normalBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAGtimepoint: Day 4
SRX8297689	SRA1073734	GSM4542768	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D4 normalBMP4 Rep4 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D4_normalBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAGtimepoint: Day 4
SRX8297690	SRA1073734	GSM4542769	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D4 normalBMP4 Rep1 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D4_normalBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 4
SRX8297691	SRA1073734	GSM4542770	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D4 normalBMP4 Rep2 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D4_normalBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 4
SRX8297692	SRA1073734	GSM4542771	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D4 normalBMP4 Rep3 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D4_normalBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 4
SRX8297693	SRA1073734	GSM4542772	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D4 normalBMP4 Rep4 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D4_normalBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 4
SRX8297694	SRA1073734	GSM4542773	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D4 highBMP4 Rep1 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D4_highBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAGtimepoint: Day 4
SRX8297695	SRA1073734	GSM4542774	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D4 highBMP4 Rep2 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D4_highBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAGtimepoint: Day 4
SRX8297696	SRA1073734	GSM4542775	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D4 highBMP4 Rep3 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D4_highBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAGtimepoint: Day 4
SRX8297697	SRA1073734	GSM4542776	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D4 highBMP4 Rep4 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D4_highBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAGtimepoint: Day 4
SRX8297698	SRA1073734	GSM4542777	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D4 highBMP4 Rep1 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D4_highBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 4
SRX8297699	SRA1073734	GSM4542778	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D4 highBMP4 Rep2 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D4_highBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 4
SRX8297700	SRA1073734	GSM4542779	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D4 highBMP4 Rep3 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D4_highBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 4
SRX8297701	SRA1073734	GSM4542780	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D4 highBMP4 Rep4 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D4_highBMP4cell type: mouse ES cell derived cardiac mesodermgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 4
SRX8297702	SRA1073734	GSM4542781	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D6 normalBMP4 Rep1 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D6_normalBMP4cell type: mouse ES cell derived cardiac precursorgenotype: Brg1-3xFLAGtimepoint: Day 6
SRX8297703	SRA1073734	GSM4542782	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D6 normalBMP4 Rep2 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D6_normalBMP4cell type: mouse ES cell derived cardiac precursorgenotype: Brg1-3xFLAGtimepoint: Day 6
SRX8297704	SRA1073734	GSM4542783	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D6 normalBMP4 Rep1 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D6_normalBMP4cell type: mouse ES cell derived cardiac precursorgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 6
SRX8297705	SRA1073734	GSM4542784	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D6 normalBMP4 Rep2 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D6_normalBMP4cell type: mouse ES cell derived cardiac precursorgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 6
SRX8297706	SRA1073734	GSM4542785	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D6 normalBMP4 Rep3 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D6_normalBMP4cell type: mouse ES cell derived cardiac precursorgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 6
SRX8297707	SRA1073734	GSM4542786	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D6 highBMP4 Rep1 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D6_highBMP4cell type: mouse ES cell derived cardiac precursorgenotype: Brg1-3xFLAGtimepoint: Day 6
SRX8297708	SRA1073734	GSM4542787	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D6 highBMP4 Rep2 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D6_highBMP4cell type: mouse ES cell derived cardiac precursorgenotype: Brg1-3xFLAGtimepoint: Day 6
SRX8297709	SRA1073734	GSM4542788	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D6 highBMP4 Rep1 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D6_highBMP4cell type: mouse ES cell derived cardiac precursorgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 6
SRX8297710	SRA1073734	GSM4542789	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	BrmKO D6 highBMP4 Rep2 ATAC-seq; Mus musculus; ATAC-seq	source_name: BrmKO_D6_highBMP4cell type: mouse ES cell derived cardiac precursorgenotype: Brg1-3xFLAG; Brm::Purotimepoint: Day 6
SRX8297711	SRA1073734	GSM4542790	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D10 normalBMP4 Rep1 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D10_normalBMP4cell type: mouse ES cell derived cardiac myocytesgenotype: Brg1-3xFLAGtimepoint: Day 10
SRX8297712	SRA1073734	GSM4542791	mm9, mm10	ATAC-Seq	ATAC-Seq	Pluripotent stem cell	mESC derived cardiac cells	WT D10 normalBMP4 Rep2 ATAC-seq; Mus musculus; ATAC-seq	source_name: WT_D10_normalBMP4cell type: mouse ES cell derived cardiac myocytesgenotype: Brg1-3xFLAGtimepoint: Day 10
